Date,Temperature,Relative Humdity,Wind Speed
2015-04-25,33.42336692,14.70833333,11.65027644
2015-04-26,31.64170017,32.20833333,15.58426548
2015-04-27,33.37086679,28.41666667,13.46005534
2015-04-28,34.25295033,26.125,16.2124999
2015-04-29,34.93045008,19.16666667,5.961401175
2015-04-30,35.37503346,19.54166667,14.63061873
2015-05-01,34.20753358,22.08333333,16.58456648
2015-05-02,33.86711683,13.08333333,9.233065838
2015-05-03,34.63045,11.5,8.362833871
2015-05-04,34.67795029,9.458333333,8.842966967
2015-05-05,36.30378346,9,8.985444988
2015-05-06,37.7504505,7.75,8.152490404
2015-05-07,37.34628363,8.416666667,14.81443905
2015-05-08,37.16378363,10.625,15.83498946
2015-05-09,37.45420025,13.91666667,11.2561883
2015-05-10,38.42128383,13.45833333,6.364022492
2015-05-11,38.51295138,13.33333333,8.906718471
2015-05-12,37.18586729,17.58333333,11.40771609
2015-05-13,35.87170029,21.375,7.359969146
2015-05-14,35.35128342,23.04166667,6.471364916
2015-05-15,35.32586729,20,12.73829185
2015-05-16,36.05170038,19.45833333,5.598522104
2015-05-17,37.34045133,19.125,6.540935442
2015-05-18,39.13336721,16.29166667,8.973014963
2015-05-19,40.30378396,13.66666667,7.802643665
2015-05-20,38.45086704,10.125,12.70543996
2015-05-21,38.24420042,9,13.79516415
2015-05-22,39.49420054,8.208333333,12.15509637
2015-05-23,39.54336742,8.541666667,11.58743054
2015-05-24,39.69045046,12.5,12.06970764
2015-05-25,39.87378404,11.75,8.003976096
2015-05-26,39.06295071,8.75,10.2261944
2015-05-27,36.80045058,10.16666667,12.13845085
2015-05-28,38.30378363,7.375,10.40200261
2015-05-29,39.24545075,14.625,11.45325954
2015-05-30,39.39461763,14.20833333,9.725698417
2015-05-31,38.84878442,12.25,8.316644567
2015-06-01,37.79295038,12.58333333,9.092397883
2015-06-02,37.28545058,16.875,12.1318274
2015-06-03,35.32795117,21.95833333,9.350165111
2015-06-04,35.846284,23.83333333,8.985107358
2015-06-05,36.35586721,22.375,10.14684619
2015-06-06,36.27295038,21.5,12.16639921
2015-06-07,38.24253404,17.16666667,10.13210116
2015-06-08,39.97503421,14.25,8.761618949
2015-06-09,40.30461763,13.58333333,12.44097894
2015-06-10,39.06753429,21.54166667,19.65760874
2015-06-11,38.72128383,24.66666667,17.77214275
2015-06-12,39.00711746,24,14.42942145
2015-06-13,38.87545096,20.58333333,12.46633097
2015-06-14,37.85420108,23.33333333,8.023844442
2015-06-15,35.89045067,28.20833333,9.354543067
2015-06-16,38.295451,22.95833333,5.056571528
2015-06-17,38.95461746,18.95833333,6.0424707
2015-06-18,39.82045067,16.33333333,6.447980758
2015-06-19,40.64878383,16.58333333,6.147073671
2015-06-20,39.53586763,26.25,13.1195717
2015-06-21,38.66336729,29.375,16.99815469
2015-06-22,37.63628417,33.54166667,13.98819365
2015-06-23,37.83878367,32.33333333,12.23858676
2015-06-24,37.16253454,32.41666667,13.39112788
2015-06-25,30.84419979,59.875,10.21243209
2015-06-26,33.12420067,45.70833333,7.689766418
2015-06-27,37.48253425,25.83333333,11.28676341
2015-06-28,38.05961771,27.16666667,8.389151442
2015-06-29,34.67753358,41.08333333,17.29889961
2015-06-30,34.03295033,43.75,11.35578872
2015-07-01,33.50628346,46.04166667,8.811722454
2015-07-02,35.13503392,40.20833333,10.40341255
2015-07-03,36.78753421,32,13.01451356
2015-07-04,37.19920121,35,14.54175331
2015-07-05,37.00836771,38.66666667,14.13321923
2015-07-06,34.02128413,51.54166667,11.726927
2015-07-07,31.50711658,64.5,12.92136011
2015-07-08,32.89128388,56.45833333,10.17721007
2015-07-09,34.75253413,49.75,7.206518267
2015-07-10,31.70336671,64.41666667,13.06614503
2015-07-11,27.958783,80.75,17.50629025
2015-07-12,26.85211617,85.375,17.24862853
2015-07-13,30.30628363,70.29166667,5.505086863
2015-07-14,34.58753388,49.125,9.807209871
2015-07-15,36.18045058,43.29166667,13.88640502
2015-07-16,35.92378358,44.16666667,14.82258468
2015-07-17,31.34045029,69.25,13.91393803
2015-07-18,30.41628296,72.08333333,7.474306729
2015-07-19,31.05128296,67.91666667,8.622759817
2015-07-20,31.28795004,66.91666667,8.224046513
2015-07-21,31.39295013,66.125,8.597122917
2015-07-22,31.68003371,64.70833333,10.60621406
2015-07-23,31.28128346,65.04166667,12.11641408
2015-07-24,32.21961717,59.58333333,11.23508485
2015-07-25,32.77086721,57.25,10.96026421
2015-07-26,32.44128333,57.91666667,17.48668356
2015-07-27,30.62545008,60.5,19.77738171
2015-07-28,31.13378317,56.5,15.81631677
2015-07-29,31.31128342,55.04166667,13.04115415
2015-07-30,31.39461692,58.125,14.67957217
2015-07-31,30.80336679,61.45833333,13.31989884
2015-08-01,30.43169992,63.66666667,9.932820504
2015-08-02,31.31211671,60.91666667,6.610257733
2015-08-03,33.50670004,50.875,6.67880257
2015-08-04,33.6542005,52.25,6.024102825
2015-08-05,32.47920017,59.625,5.683458458
2015-08-06,32.2850335,63.08333333,7.733101479
2015-08-07,32.06461692,65.45833333,9.486509204
2015-08-08,31.35920029,68.625,7.021460033
2015-08-09,32.60336688,64.66666667,7.195710146
2015-08-10,31.74170004,69.33333333,7.520274171
2015-08-11,30.41420021,76.45833333,9.436066663
2015-08-12,30.21378288,76.70833333,5.881182825
2015-08-13,31.75420029,65.41666667,5.078671803
2015-08-14,30.94086646,67.875,8.234642058
2015-08-15,30.14961642,72.66666667,7.286299817
