PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
1/30/2015,478.46,399.77,385.08,332.24,303.08,272.6,278.17,262.67,280.99,277.97,241.58,301.98,292,244.84,180.76,203.31,219.39,186.85,185.77,214.73,245.71,230.77,230.68,293.21
1/31/2015,280.59,233.88,257.48,240.14,223.36,206.94,251.66,214.89,249.7,211.52,166.71,155.72,141.85,89.25,92.51,139.12,101.79,101.18,134.03,209.52,309.52,221.11,298.09,438.87
2/1/2015,499.08,481.89,574.13,279.61,382.85,484.37,601.74,575.38,561.24,629.14,446.18,404.47,344.36,366.94,176.19,198.13,132.69,165.02,227.04,204.06,243.32,323.54,343.48,260.34
2/2/2015,282.55,290.16,255.56,300.48,370.76,330.41,239.9,200.72,232.13,255.19,226.09,193.39,196.1,195.17,175.31,221.57,224.11,150.4,138.4,156.89,144.16,149.54,169.95,177.12
2/3/2015,152.39,178.88,164.2,159.08,159.48,175.96,185.8,172.96,185.07,181.87,181.79,161.3,167.96,195.76,233.84,238.95,262.2,190.07,184.09,190.68,210.01,250.39,230.04,245.37
2/4/2015,205.61,208.09,197.65,176.9,129.96,114.69,114.69,130.69,144.68,142.54,132.12,143.44,114.65,132.24,152.95,146.35,104.6,102.87,115.48,151.84,203.69,169.03,168,127.12
2/5/2015,144.48,150.52,191.31,171.96,132,96.98,81.05,73.33,113.67,123.74,81.29,87.93,84.6,78.56,62.54,63.01,77.15,67.8,87.22,133.84,237.71,360.4,289.57,67.43
2/6/2015,262.85,513.36,318.57,372.17,474.63,607.86,548.24,450.41,517.95,593.67,426.09,276.38,254.62,201.96,191.45,127.09,106.56,148.74,225.69,310.26,215.43,169.65,402.91,227.24
2/7/2015,305.25,394.22,313.24,241.73,176.45,168.77,253.77,231.11,180.7,201.11,111.48,201.82,132.97,141.86,112.51,109.24,48.65,103.93,69.42,91.36,133.7,391.02,432.13,506.01
2/8/2015,409.46,387.31,533.25,430.63,397.21,389.83,395.03,218.39,201.07,204.98,189.74,146.2,197.42,119.22,77.41,72.3,115.29,71.82,58.96,98.46,90.75,132.59,118.16,120.96
2/9/2015,126.05,165.31,94.45,40.54,47.95,38.05,93.66,65.57,53.41,36.69,40.86,49.07,49.8,59.93,78.91,83.21,102.97,69.64,102.56,120.76,262.93,329.9,185.15,339.27
2/10/2015,374.6,362.63,314.41,121.89,112.55,121.37,252.4,292.49,297.06,123.91,67.43,122.05,335.25,251.68,208.22,181.32,162.14,153.78,120.54,150.24,190.7,201.07,210.14,509.59
2/11/2015,514.19,260.9,183.69,203.54,293.41,376.78,385,266.15,464.17,534.15,435.1,288.7,173.17,268,407.01,226.16,142.95,186.45,185.82,205.13,240.33,242.66,405.06,698.74
2/12/2015,449.35,302.99,432.88,418.27,468.23,430.92,528.73,533,591.57,674.87,399.36,312.52,368.77,326.68,263.65,297.46,327.11,225.78,246.2,323.53,333.48,298.47,438.18,487.31
2/13/2015,444.1,404.68,390.61,409.45,440.4,426.78,320.92,348.19,287.09,243.02,255.75,255.89,223.96,200.68,201.96,242.59,190.88,209.36,211.01,265.32,468.41,462.78,360.43,617.97
2/14/2015,224.78,412.52,781.92,647.54,608.43,652.06,695.33,695.86,654.74,394.54,502.55,315.76,101.75,257.34,209.04,204.13,198.87,215.97,151.68,244.9,377,639.23,326.65,386.46
2/15/2015,446.98,460.49,573.9,768.05,703.35,583.87,717.26,629.99,664.37,589.19,408.38,310.77,327.57,305.81,317.38,483.73,336.62,269.93,242.22,395.37,486.35,551.23,677.24,686.8
2/16/2015,579.14,364.18,300.57,473.83,266.53,227.03,278,294.8,262.04,264.47,253.78,259.85,297.74,312.82,281.39,296.92,456.64,327.88,294.45,249.19,258.38,273.03,292.76,292.39
2/17/2015,265.77,272.61,277.25,267.23,241.97,261.08,268.6,278.62,195.12,30,97.68,180.33,30,32.68,148.22,87.45,145.9,160.9,154.88,163.86,188.47,286.61,339.36,324.2
2/18/2015,264.61,245.16,387.46,345.37,329.4,367.69,384.52,302.22,326.14,346.15,293.05,230.1,173.38,224.02,161.64,189.92,194.74,144.85,166.87,165.09,190.07,208.29,221.88,222.19
2/19/2015,190.86,268.9,210.97,198.54,250.16,226.45,198.95,242.98,227.92,209.27,193.74,188.77,229.1,153.67,193.64,140.07,148.65,144.98,147.49,157.7,199.38,174.43,185.73,168.41
2/20/2015,178.67,163.24,196.71,184.98,165.61,185.26,185.26,157.74,169.01,173.37,171.3,187.14,171.34,174.09,171.72,168.28,156.4,98.88,103.33,131.16,132.59,158.4,152.35,155.93
2/21/2015,160.13,154.71,175.69,187.33,191.32,249.56,332.01,199.15,278.25,242.65,181.2,232.54,347.83,277.43,282.6,186.86,117.18,99.91,98.37,108.33,137.34,135.91,106.69,101.67
2/22/2015,85.32,102.23,108.23,114.15,125.02,112.2,129.74,125.83,111.17,93.34,101.92,87.49,77.96,113.93,106.16,107.25,109.91,87.48,92.85,110.17,103.01,116.31,119.43,141.64
2/23/2015,115.86,106.39,115.97,139.37,147.06,145.19,199.99,190.35,150.15,176.11,165.78,155.82,129.68,113.35,179.72,208.83,197.71,212.04,168.75,139.4,118.29,145.21,139.46,207.86
